GarageArea,GrLivArea,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
774,1828,9,1822,2007,2007
308,894,5,894,1962,1962
432,964,5,876,1921,2006
857,1689,8,1568,2002,2002
843,1541,7,1541,2001,2002
400,1221,7,1221,2004,2005
440,1324,6,1088,1965,1965
484,1416,7,696,1999,1999
297,988,4,462,1973,1973
440,1218,6,735,1941,1950
397,1656,7,746,2003,2004
460,1362,6,1362,2005,2006
442,1839,6,756,1966,1966
451,1375,6,1367,1954,1954
528,1122,5,924,1948,2005
588,1432,5,1360,1978,1978
400,1456,7,728,2007,2007
497,1217,7,1188,1990,1991
625,1040,5,0,1950,1950
528,1224,6,612,2009,2009
468,1774,7,952,1931,1950
384,1367,5,861,1900,1950
297,1360,5,803,1938,1995
420,848,6,848,2004,2004
749,2262,8,1482,2003,2003
396,1220,4,836,1951,1951
398,1414,7,1375,2004,2004
396,2058,6,735,1917,1950
0,1198,6,901,1920,1998
499,1659,8,1501,2000,2000
308,1012,6,1012,1920,1950
672,3082,7,824,1920,1970
672,1812,5,360,1900,1996
650,1929,7,1057,2001,2001
576,954,5,911,1976,1976
765,1838,9,1838,2006,2006
924,1640,6,1296,1954,2006
672,1148,5,1148,1959,1959
280,950,5,950,1971,1971
471,1911,8,777,1993,1994
440,1635,6,1065,1923,1950
440,1316,7,1316,2007,2007
615,1442,6,1442,1970,1970
500,1078,5,1078,1971,2008
544,1120,4,1040,1961,1961
527,1419,8,408,2002,2002
240,1389,7,651,1946,1992
280,1063,5,1056,1954,1954
874,1792,9,1792,2003,2004
402,1216,6,1216,1998,1998
576,1762,7,596,1920,1950
434,1959,7,847,2004,2005
546,1208,6,1208,1977,1977
315,1524,5,874,1958,1958
240,1154,4,796,1922,2007
420,1048,5,0,1950,1950
273,886,5,190,1938,1996
600,943,5,943,1979,1979
603,1768,7,866,2005,2005
779,2599,9,1393,1999,1999
275,912,5,912,1958,1958
308,882,5,0,1956,1956
511,1337,6,1405,1998,1999
850,2076,10,2076,2006,2006
752,2531,8,1318,1995,1995
240,1768,5,731,1937,1950
538,1625,8,1573,2006,2007
389,2144,6,1444,1958,2006
880,2775,10,1237,1893,2000
477,1868,6,585,1984,2003
541,1525,7,1525,2000,2000
722,1571,8,1571,2007,2007
0,796,5,796,1910,1950
432,2372,5,994,1892,1965
402,1472,7,384,1991,1992
364,960,4,648,1965,2001
372,1838,5,732,2005,2005
484,1309,6,1040,1974,1999
694,2643,9,2153,2006,2006
200,1131,5,676,1941,1950
400,1960,5,960,1952,1952
336,1144,5,1144,1963,1963
576,1056,6,1056,1980,1980
0,693,4,693,1941,1950
576,1494,6,1479,1997,1997
482,1646,8,1594,2004,2005
352,864,5,864,1972,1972
750,1566,8,1566,2008,2008
497,1395,6,723,1972,1972
539,1208,4,780,1925,1950
180,1513,5,939,1920,2004
560,1367,6,884,1931,1950
386,955,5,955,1966,1966
210,1077,3,1007,1922,1950
572,1056,5,1056,1955,1955
615,1553,7,756,2005,2006
865,1614,7,1614,2005,2006
1390,2042,8,2042,2008,2009
326,1073,5,1073,1921,1968
240,1285,5,672,1948,2001
550,2117,6,1205,1970,1970
0,605,4,528,1920,2002
300,1150,5,1150,1959,1959
400,1456,6,728,2005,2005
588,999,7,944,1961,2007
564,1500,6,750,2005,2006
375,1336,5,1165,1953,1953
398,1593,6,839,2004,2004
836,2184,9,1104,2008,2008
573,1560,7,1560,2003,2003
312,1644,5,728,1942,1995
286,630,4,630,1970,2002
504,1113,6,1143,1976,1976
947,2172,7,1063,2006,2006
384,1346,4,560,1910,2000
550,2610,8,1184,2007,2007
936,1958,7,1026,2005,2005
898,1468,8,1468,2008,2009
539,1734,5,0,1977,1977
240,1200,5,768,1946,1995
438,1550,7,1092,2006,2007
440,2230,4,795,1912,1950
240,1639,6,1064,1936,1950
624,864,5,864,1958,1958
440,1621,7,1208,1984,1998
264,987,6,483,1972,2007
628,2519,7,1210,1989,1990
440,1365,5,765,1970,1970
779,2290,8,1128,2002,2002
840,2596,9,1249,2006,2006
352,907,4,907,1957,1957
440,1456,6,855,1976,1976
540,1190,5,1106,1962,1962
684,858,4,858,1971,1971
516,2223,7,2223,1973,1973
672,1005,4,1005,1955,1955
409,1895,7,712,1994,1996
384,1040,5,1040,1965,1965
461,1264,5,1268,1960,1960
578,1761,7,874,2007,2007
888,1034,6,1012,1976,1976
439,1363,7,1385,1954,2005
480,1689,6,1436,1956,1956
839,2113,8,2109,1995,1995
544,1573,7,1573,2002,2002
820,2364,9,2330,2009,2010
645,2034,7,1057,1997,1998
431,1291,6,1291,1996,1997
0,858,5,858,1958,2008
280,1258,6,560,1939,1950
246,438,2,290,1920,1950
440,1400,6,672,1978,1978
240,954,5,920,1938,1950
645,1445,6,1127,1964,1964
525,1072,6,547,2005,2005
0,1664,5,0,1965,1965
441,2134,6,844,1916,1994
380,3194,8,965,1934,1998
0,1824,6,912,1971,1971
422,1756,6,872,1996,1997
576,912,5,912,1965,2008
600,1509,6,1461,1988,1989
216,1608,6,976,1925,1990
397,1316,6,1316,2005,2006
450,1015,5,768,1925,1950
240,1134,5,756,1940,1950
865,1636,8,1623,2006,2006
400,1320,7,660,2003,2003
538,2126,5,1013,1967,1967
525,1128,5,1120,1963,1963
756,1306,5,992,1957,2000
0,1344,4,546,1970,2008
704,2554,7,718,1890,1998
576,893,5,845,1949,2003
668,1933,6,894,2007,2007
264,1218,6,672,1973,1973
534,1969,7,808,1977,1977
556,2090,8,1220,1995,1996
487,1484,5,1484,1971,1971
506,1656,5,1656,1973,1973
210,1224,6,818,1926,2004
390,2054,6,992,2000,2000
576,854,7,832,1929,2001
286,1092,4,546,1973,1973
252,1268,5,1268,1977,1989
550,1661,7,799,1996,1996
502,1668,8,1657,2003,2003
508,1493,6,1478,1997,1998
306,932,6,932,1950,1950
526,1277,7,1277,1970,1970
630,1530,7,1530,2004,2004
484,1344,5,1024,1958,1983
528,860,5,840,1982,1982
626,1314,7,1314,2007,2008
868,1962,7,1391,2006,2006
388,1490,7,788,2004,2005
420,848,6,848,2004,2004
240,672,5,672,1940,1997
252,2340,7,1152,1941,2006
180,1656,5,660,1916,1987
484,1479,7,725,1972,2004
740,1226,7,1226,2009,2009
444,2087,6,832,1966,2007
576,1158,6,1158,2004,2004
480,1154,5,1154,1966,1966
527,1724,7,880,1998,1999
431,1658,6,773,1995,1996
520,1126,4,0,1949,2003
300,1393,5,816,1955,1955
1014,3447,8,728,1935,1997
264,987,6,483,1973,1973
0,1355,5,644,1940,1999
505,2069,7,585,1960,2007
440,1501,7,744,1999,1999
908,1976,8,1976,2006,2007
758,1563,8,1563,2007,2007
288,1111,7,572,1926,1950
270,1502,7,776,1931,2000
452,1733,3,0,1955,1955
706,2728,9,1848,2005,2006
264,1302,5,630,1972,1972
586,1524,7,1332,1979,1979
680,1588,4,0,1959,1959
430,1125,5,1125,2006,2007
480,1200,7,600,2005,2005
520,1640,6,798,2004,2004
525,2127,7,1223,1994,1994
240,972,6,972,1948,2002
466,2020,8,1128,1995,1995
596,1144,5,1144,1956,1956
288,1352,5,1062,1958,1958
484,1316,5,926,1929,2001
592,1924,8,1086,1998,1998
240,1164,5,1164,1950,1950
840,952,5,952,1951,1951
0,2358,8,684,1872,1987
540,1680,6,880,1988,2007
672,1912,6,482,1905,2000
480,1004,6,1004,1970,1970
305,1230,4,747,1946,1950
495,1167,5,915,1920,1950
440,1301,5,1145,1924,1950
445,1453,7,1453,1986,1986
670,1601,8,1581,2001,2002
825,1588,8,1588,2006,2006
264,1095,6,588,1958,1958
368,1050,5,1050,1961,1961
432,960,4,960,1965,1965
280,1456,5,810,1948,1950
462,1489,6,1489,1968,1968
786,1726,7,1726,2007,2007
484,2082,7,1362,2003,2003
484,1339,7,1309,1990,1990
1069,2450,8,1284,1998,1998
660,1863,7,879,2006,2006
396,768,5,768,1972,2007
0,334,1,0,1946,1950
384,1136,6,1136,1965,1965
405,1337,6,1237,1998,1998
288,912,5,912,1964,1964
264,1812,5,864,1962,1962
240,2192,5,720,1939,1997
0,1184,5,658,1910,1996
308,1889,7,925,1910,1950
624,1327,5,1063,1959,2002
576,1422,6,1422,1981,1981
576,1632,5,1632,1967,1967
451,1630,7,1630,2000,2001
0,1526,3,1013,1915,1982
420,1040,4,0,1949,1950
216,1647,6,806,1915,1950
576,1981,4,1122,1928,1950
418,1644,6,1416,1953,1953
868,2574,8,1482,2007,2007
520,1824,6,764,1919,1950
520,1350,6,1248,1964,1964
440,958,6,958,1976,1976
370,1848,6,833,1923,2000
490,1620,4,1281,1976,1993
400,1167,6,1158,1992,1992
220,1487,6,735,1945,1950
288,892,5,892,1967,1967
240,804,5,788,1940,1992
0,1140,5,1140,2006,2006
483,1796,6,780,1963,1963
551,2030,6,848,1976,1976
812,2007,10,1017,2008,2008
216,691,5,691,1920,1950
676,1590,8,768,2008,2008
325,1855,6,994,1954,1972
442,1804,7,994,1999,1999
543,1768,7,884,2003,2003
807,3627,10,1930,1995,1996
403,1298,6,1298,1985,1985
484,1801,7,1501,1959,1997
0,630,5,630,1970,1970
440,1103,6,1103,1925,1980
384,1178,4,859,1900,1950
440,1196,4,1196,1916,1990
529,1372,7,1372,2007,2008
296,1431,6,1099,1962,1962
626,1422,7,1422,2004,2004
501,1953,6,1580,1992,1992
440,1121,4,1121,2003,2004
852,2473,8,1143,2004,2005
576,1057,5,1057,1962,1962
602,1110,5,1097,1978,1978
671,2270,8,1152,1999,2007
746,2018,9,2002,2008,2009
440,1386,6,672,1978,1978
1043,1953,8,1082,2005,2006
462,1337,8,1337,1993,1993
648,2285,8,969,2000,2000
826,1718,8,1705,2007,2008
484,1086,5,1024,1966,1966
660,1555,7,1373,2007,2007
567,1902,7,1902,1959,2002
693,2514,7,1216,1990,1991
528,1224,5,1086,1979,1979
460,1054,6,1054,1969,1969
676,2612,8,1225,1998,1999
288,902,5,876,1967,1967
484,2353,7,845,1980,1980
299,1392,6,689,1977,1977
576,1155,5,1109,1961,1995
240,1904,5,1208,1950,1982
208,1158,6,862,1929,1950
502,1362,6,611,1920,1999
429,2291,7,975,1999,1999
250,1317,4,649,1920,1950
928,1734,8,1734,2007,2007
312,1194,6,1194,1959,1959
720,1416,5,876,1915,1950
354,1383,5,1383,1954,1954
871,2002,5,1001,1949,1950
474,1496,8,1496,2007,2007
660,1604,5,984,1941,1960
504,764,5,680,1925,2004
476,1732,6,741,1985,1985
840,1494,7,1494,2006,2007
180,986,6,960,1926,1950
397,1145,7,1145,2005,2006
0,1484,6,742,1914,2001
525,1344,6,819,1958,1958
686,1539,5,650,1904,2002
656,2504,9,1122,2005,2007
528,747,4,600,1926,1953
583,2097,7,1108,1998,1998
884,4676,10,3138,2007,2008
624,1176,6,698,1937,2000
0,720,4,720,1920,1950
830,1580,8,1580,2007,2008
0,1440,4,1440,1977,1977
540,1476,6,738,2005,2005
570,1500,7,1500,2004,2004
216,1348,5,884,1925,1997
884,1200,5,864,1965,1998
514,1394,6,1394,1963,1963
484,1632,6,800,1966,2000
336,912,5,912,1967,1967
864,2624,6,1370,1918,1950
349,1696,5,1140,1962,1962
440,1230,5,440,1910,1981
440,2727,8,853,1932,1994
429,1456,6,728,2006,2006
660,864,4,864,1970,1970
380,1709,6,970,2004,2006
528,1665,8,810,2001,2001
656,2646,7,1347,1993,1993
595,1640,7,798,2003,2003
420,1699,3,978,1900,1970
529,1663,4,1364,1954,1994
504,1728,5,1728,1963,1963
462,1845,6,1055,1992,1992
440,1851,6,822,1964,1993
776,1489,8,1489,2006,2006
300,864,6,864,1959,1959
276,1256,5,1256,1965,1965
816,816,5,816,1982,2003
492,1820,7,864,1965,1988
833,2127,7,1104,1991,1991
461,1065,5,1065,1960,1960
312,1200,6,1200,1923,1950
632,1208,7,1187,2006,2006
642,2482,8,1094,2005,2006
527,1720,7,1720,1996,1996
0,840,5,672,1930,1950
496,1294,6,1278,1991,1991
450,1090,5,1090,2005,2006
420,2263,8,1141,1998,1998
440,969,5,969,1975,1975
1248,894,3,894,1935,1950
360,1028,5,1008,1927,1950
492,1958,6,979,1946,1950
895,1795,8,1795,2006,2007
606,1940,9,1930,2009,2010
439,1178,5,1176,1973,2000
400,1482,6,672,1925,1950
554,1428,7,1417,2008,2008
338,864,5,864,1972,1972
200,1111,5,616,1941,1950
420,1470,6,680,1993,1993
440,1116,6,1116,1962,1962
288,864,6,864,1959,1959
498,1297,5,1297,1954,1990
264,1113,5,1113,1950,2007
577,1501,7,1490,1999,1999
614,1547,7,756,2009,2009
678,1947,7,991,2004,2005
908,1717,8,1709,2006,2006
440,1052,6,1010,1971,1971
455,2013,7,1117,1996,1997
388,1266,7,1266,2007,2007
716,2868,9,1992,2005,2006
554,2256,7,952,2000,2000
494,1414,7,1414,2004,2004
471,1721,6,928,1994,1994
434,1552,6,713,1975,1975
528,1128,4,698,1920,1950
358,1118,6,1096,1977,1977
574,1728,6,1728,1976,1976
711,2448,8,1629,1994,2005
452,1473,5,1437,1968,2003
400,1717,7,1156,1990,1991
400,1166,7,856,2005,2005
484,1370,8,1370,2006,2006
480,1724,6,1680,1967,1976
380,1709,7,970,2004,2004
264,987,6,483,1971,1971
216,1802,7,793,1920,1950
360,2345,6,952,1932,1950
264,1068,6,1059,1963,2003
533,1617,6,1604,1993,1994
336,1244,6,1244,1957,1957
252,1180,4,700,1922,1950
480,1223,7,600,2005,2005
612,1686,6,1686,1980,1980
800,1646,8,1638,2007,2008
264,1144,5,864,1961,1983
639,1797,7,939,2006,2006
462,1224,4,0,1962,1962
839,1865,7,992,2000,2000
308,1056,5,1056,1958,1992
820,3140,9,1926,2008,2009
492,1212,6,506,1977,1995
636,1694,8,1686,2004,2005
413,1511,6,802,1997,1997
246,1057,5,1057,1953,2007
560,2290,4,777,1885,1950
786,2183,7,1204,1988,1988
594,3222,7,1673,1990,1990
512,1716,7,880,1996,1996
457,1342,6,1372,1967,1967
437,1504,7,1346,2005,2006
648,1992,8,1053,2003,2004
462,1252,7,600,1999,2000
264,999,5,999,1962,2001
528,1363,4,622,1910,1950
490,1165,6,1127,1966,1966
702,1668,9,1626,2002,2002
853,2376,8,1158,2005,2006
352,1440,5,540,1900,1950
388,1470,6,794,1997,1997
532,1541,7,1541,2005,2005
0,1440,4,1440,1955,1955
438,1146,7,868,2003,2003
481,1494,8,1494,1995,1996
738,2224,9,1462,2004,2005
186,1343,5,731,1921,1950
683,2452,8,1028,1998,1999
540,1977,6,816,1964,1978
504,1767,7,1064,1987,1987
550,1324,8,1324,2006,2006
330,1458,6,912,1948,1950
440,1314,6,1314,2006,2006
529,1575,6,1575,1992,1992
912,1620,9,1620,2007,2008
304,1788,4,1104,1957,1989
240,913,6,814,1966,1966
500,2073,6,1542,1978,1988
492,1441,8,776,1999,2000
225,1690,7,815,1916,1950
576,1437,5,1188,1956,1987
508,2156,7,1568,1968,2003
0,864,5,864,1925,1950
336,1112,5,536,1976,1976
746,2243,7,700,1990,1991
210,1328,4,686,1925,1950
216,968,4,656,1927,2007
384,1396,6,698,1915,2003
834,1856,9,1856,2010,2010
789,2161,8,1582,2007,2007
529,1602,6,1602,1977,2000
280,1302,5,630,1971,1971
393,1509,6,783,2002,2003
352,912,5,912,1962,1962
420,1664,6,1004,1947,1950
576,1694,6,1181,1925,1950
220,747,4,747,1945,1950
420,1040,4,0,1950,1950
493,1660,7,831,2002,2002
308,1691,5,1026,1924,1950
720,864,5,864,1950,2002
264,752,6,744,1984,1984
564,1792,7,963,2001,2001
474,1626,7,764,2003,2003
472,1484,8,1476,2006,2006
870,3493,7,1470,1880,2002
840,1652,9,1652,2006,2007
350,1276,5,1276,1958,1958
271,1668,6,856,1950,2005
0,1192,4,720,1949,1950
504,884,5,840,1983,1983
454,2062,7,1157,1988,1989
392,827,5,0,1955,2007
532,2019,7,728,1910,1993
336,1304,5,264,1976,1976
216,1368,6,684,1910,1993
379,1605,3,840,1915,1950
900,2020,10,2006,2009,2009
528,1250,7,625,2006,2007
757,1624,8,1624,1994,1995
360,845,4,845,1982,2006
418,1389,5,1389,1974,1975
480,968,5,968,1923,2006
286,1092,4,546,1970,1970
420,848,6,848,2003,2004
308,1269,5,1269,1960,1960
288,1092,5,1092,1962,1962
539,2263,7,795,1977,1994
283,952,4,952,1956,1956
0,1452,4,736,1920,2008
504,1039,5,1039,1965,1965
412,1204,6,1204,1998,1998
672,1117,6,1029,1976,1976
701,2196,7,2158,1990,1991
328,985,5,985,1977,1977
880,1629,8,3206,2003,2004
216,1477,7,861,1928,1950
484,980,5,980,1977,1977
590,2295,7,1095,1992,2000
180,1502,6,602,1923,1996
432,2201,6,697,1966,1966
836,2078,8,1034,2007,2008
0,800,2,264,1936,1950
840,1578,8,1573,2008,2009
774,1932,8,1932,2008,2008
404,1507,5,1075,1960,1960
280,900,5,882,1967,1967
786,1718,10,1700,2006,2007
240,1750,5,636,1880,1991
834,2398,7,1379,1996,1997
680,1968,8,774,2009,2010
532,1536,7,1536,2002,2003
200,864,3,864,1914,1950
546,3228,8,3200,1992,1993
670,2149,7,1434,2003,2003
864,2640,7,1240,1880,2003
530,1682,7,1304,1970,1970
878,2098,8,1030,2005,2005
360,864,5,864,1965,1965
530,1968,5,784,1969,1969
480,1097,6,1040,1984,1985
528,1196,6,684,1920,2000
451,1920,5,1052,1958,1958
576,1728,5,1728,1965,1965
577,2031,8,1128,2002,2002
297,1196,6,1196,1956,1956
360,803,5,720,1941,1950
462,1620,5,780,1969,1969
1134,2097,8,2077,2005,2006
617,1869,9,1869,2007,2007
431,1886,7,930,1998,1999
308,480,2,480,1949,1950
516,1296,4,0,1967,1967
288,816,4,816,1938,1958
478,1601,7,1271,1978,1978
451,1792,6,936,2000,2000
796,2520,8,1338,1993,1993
796,1144,5,1144,1959,1959
621,2601,5,612,1921,1998
312,1577,6,972,1939,1950
624,970,5,970,1963,1963
513,2036,7,2136,1965,1965
440,1026,6,1026,1969,2005
0,698,5,698,1947,2008
576,1533,7,1533,1975,1975
660,1382,5,720,1941,1950
530,1391,7,1391,2004,2004
240,1078,5,1078,1950,1996
471,1296,8,1267,2001,2002
301,1442,6,1442,1958,1958
0,1964,5,940,1911,1950
644,1502,7,1502,2009,2009
458,1392,6,1392,1957,1957
0,1768,4,1768,1968,1968
390,1582,5,1624,1964,1964
301,958,6,958,1960,1998
600,894,5,894,1972,1972
402,1224,6,1224,1999,1999
846,2332,10,1682,2007,2008
430,1269,8,1256,2004,2005
712,1776,8,1732,2006,2007
390,1456,6,728,2005,2006
539,1194,6,655,1959,1959
240,1008,5,1008,1953,2006
430,1555,7,1373,2005,2006
180,1784,5,747,1914,1950
280,1108,7,637,1930,1950
400,1394,5,384,2006,2007
496,1714,7,980,1988,1988
294,882,5,0,1959,1959
0,1306,3,728,1940,1966
288,1217,6,626,1980,1980
299,990,5,990,1994,1994
691,2452,8,1117,2004,2005
420,848,6,848,2003,2003
300,1369,6,672,1925,1950
676,1218,6,1218,2009,2009
672,2555,6,588,1922,1994
550,1247,8,1247,2005,2005
619,2872,6,1330,1977,1995
482,1652,8,1600,2008,2008
546,1844,6,1844,1977,1977
689,1971,7,1113,2005,2005
463,1800,6,982,2000,2000
574,1949,7,1050,1993,1994
0,630,4,630,1972,1972
530,1494,7,1494,2002,2002
0,968,3,600,1910,1950
508,1274,7,1274,2005,2007
364,1520,6,1156,1955,1972
528,1285,6,660,1977,1977
393,1509,7,783,2003,2003
550,1935,7,793,1976,1976
0,816,6,816,1990,1990
555,1200,7,1176,2003,2003
548,1470,4,941,1954,1972
528,1656,6,1080,1960,1960
240,792,5,768,1924,2006
818,1694,8,1694,2007,2007
765,1800,8,1800,2002,2002
560,2337,5,662,1900,1950
315,1846,6,1040,1949,1950
576,1026,6,940,1978,1978
408,904,5,876,1966,1966
484,1126,5,1126,1977,1977
872,2468,8,1136,2004,2004
540,988,6,938,1969,1969
288,1052,5,1052,1968,1968
0,1096,6,572,1924,1950
484,1141,6,1141,2005,2005
484,1790,6,732,1972,1972
660,1852,8,1004,1999,2000
0,754,6,520,1935,1982
513,1344,5,624,1916,1950
576,2207,7,1947,1970,1989
360,2358,6,907,1908,1997
831,2715,8,1142,1976,1996
484,1364,7,1364,2005,2005
402,1253,7,1237,1995,1996
528,1328,6,1328,1963,1963
286,1422,5,978,1960,1978
486,1986,7,768,1965,1990
192,952,6,952,1916,1950
500,1660,8,1660,2006,2006
1166,2234,9,2216,2008,2009
160,790,6,768,1930,1950
396,1340,7,1340,2007,2007
480,1610,6,1610,1977,2001
600,2620,5,1361,1977,1977
438,1248,7,1248,2005,2006
288,912,6,912,1961,1996
472,1638,6,943,1998,1998
1356,1622,4,1249,1961,1975
180,2320,6,1028,1945,2002
456,1144,5,1144,1961,1961
281,1520,5,793,1932,2000
472,1516,6,1516,1964,1964
675,1498,7,1498,2006,2006
560,1961,6,804,2001,2002
440,1456,7,728,2006,2006
349,2403,7,1032,1940,1950
708,1944,9,1896,2003,2004
474,1368,7,1368,2005,2006
588,1790,7,873,1999,1999
858,2713,9,1452,2008,2008
312,1271,5,720,1948,1950
604,1872,7,1845,1988,1988
577,2090,7,1190,1984,1984
546,1796,6,794,1998,1998
436,1302,7,1302,2007,2007
542,2524,8,2524,1981,1981
338,1374,4,840,1920,1950
474,1626,7,764,2003,2004
240,1034,5,735,1940,1950
588,1518,8,1518,2003,2004
240,1818,7,1040,1931,1950
598,1661,7,1649,1998,1998
432,1991,6,854,1932,1950
324,1482,7,650,1920,1988
564,1742,8,1742,1985,1985
280,1250,5,686,1918,1950
528,1176,6,816,1934,1950
506,1915,8,908,1992,1992
240,1595,6,940,1940,2000
377,1661,6,992,1955,1996
552,1935,8,832,2009,2009
534,1795,8,1777,2002,2002
434,1928,7,847,2003,2004
336,1159,5,1051,1968,1968
440,1456,6,855,1978,1978
431,1954,7,798,1939,2006
880,2028,8,1868,2005,2006
665,2898,8,1565,1976,1976
663,1674,7,814,2000,2000
0,974,5,974,1991,1992
586,1989,8,1065,2002,2002
678,2097,7,1080,1993,1993
500,1442,7,1424,1990,1990
720,1130,5,1120,1920,1950
240,1820,7,1026,1925,1950
583,2119,6,689,1972,1972
666,2576,8,1234,2006,2006
